Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone,Lat,Long
12431,TVC NZM RAJDHANI,THRISUR,TCR,6,NR,10.51479,76.207919
12431,TVC NZM RAJDHANI,SHORANUR JN,SRR,1,NR,10.758855,76.272196
12431,TVC NZM RAJDHANI,KOZHIKODE,CLT,22,NR,11.246234,75.780407
12431,TVC NZM RAJDHANI,KANNUR,CAN,24,NR,11.8706942,75.3683267
12431,TVC NZM RAJDHANI,KASARAGOD,KGQ,35,NR,12.491175,74.987652
12431,TVC NZM RAJDHANI,MANGALORE JN,MAJN,12,NR,12.866193,74.88006
12431,TVC NZM RAJDHANI,UDUPI,UD,33,NR,13.336341,74.771733
12431,TVC NZM RAJDHANI,KARWAR,KAWR,53,NR,14.821387,74.183139
12431,TVC NZM RAJDHANI,MADGAON,MAO,44,NR,15.267911,73.970724
12431,TVC NZM RAJDHANI,RATNAGIRI,RN,15,NR,17.002793,73.356938
12431,TVC NZM RAJDHANI,PANVEL,PNVL,16,NR,18.990919,73.121756
12431,TVC NZM RAJDHANI,VASAI ROAD,BSR,15,NR,19.3824486,72.8322217
12431,TVC NZM RAJDHANI,SURAT,ST,5,NR,21.206568,72.840793
12431,TVC NZM RAJDHANI,VADODARA JN,BRC,11,NR,22.310756,73.181065
12431,TVC NZM RAJDHANI,RATLAM JN,RTM,3,NR,23.34038,75.050826
12431,TVC NZM RAJDHANI,KOTA JN,KOTA,11,NR,25.223553,75.8805
12432,TRIVNDRM RJDHNI,H NIZAMUDDIN,NZM,1,NR,28.58733,77.254249
12432,TRIVNDRM RJDHNI,KOTA JN,KOTA,7,NR,25.223553,75.8805
12432,TRIVNDRM RJDHNI,RATLAM JN,RTM,4,NR,23.34038,75.050826
12432,TRIVNDRM RJDHNI,VADODARA JN,BRC,5,NR,22.310756,73.181065
12432,TRIVNDRM RJDHNI,SURAT,ST,11,NR,21.206568,72.840793
12432,TRIVNDRM RJDHNI,VASAI ROAD,BSR,28,NR,19.3824486,72.8322217
12432,TRIVNDRM RJDHNI,PANVEL,PNVL,25,NR,18.990919,73.121756
12432,TRIVNDRM RJDHNI,RATNAGIRI,RN,50,NR,17.002793,73.356938
12432,TRIVNDRM RJDHNI,MADGAON,MAO,38,NR,15.267911,73.970724
12432,TRIVNDRM RJDHNI,KARWAR,KAWR,47,NR,14.821387,74.183139
12432,TRIVNDRM RJDHNI,UDUPI,UD,74,NR,13.336341,74.771733
12432,TRIVNDRM RJDHNI,MANGALORE JN,MAJN,76,NR,12.866193,74.88006
12432,TRIVNDRM RJDHNI,KASARAGOD,KGQ,75,NR,12.491175,74.987652
12432,TRIVNDRM RJDHNI,KANNUR,CAN,75,NR,11.8706942,75.3683267
12432,TRIVNDRM RJDHNI,KOZHIKODE,CLT,74,NR,11.246234,75.780407
12432,TRIVNDRM RJDHNI,SHORANUR JN,SRR,80,NR,10.758855,76.272196
