Station Name,Rating,Number of Reviews
Arpinchala Railway Station,4.2,61
Srinagar Kashmir Railway Station,4.3,322
Srinagar Railway Station,4.1,29
Budgam Railway Station,4.3,70
Naidgam Railway Station,4.0,5
Sangaldan Railway Station,4.1,133
Mazhom Railway Station,4.0,284
Mazhom,4.1,70
Katra Railway Station,4.6,3939
Udhampur Railway Station,4.1,218
Bajalta Railway Station,3.8,40
Jammu Tawi Railway Station,4.0,4648
Hotel Gs,4.0,5041
Khudda Kurala Railway Station,4.5,22
Bokaro Steel City Railway Station,4.1,3789
Chandrapura Junction,3.8,574
Bokaro Thermal Railway Station,3.9,79
Gomoh Junction,4.0,1272
Nichitpur Railway Station,3.7,8
Katras Railway Station,3.5,98
Parasnath Railway Station,4.2,1552
Bhutgoria Railway Station,4.2,11
Jamadoba Halt Railway Station,3.7,44
Bhowra Railway Station,3.8,59
Dhanbad Railway Station,4.1,23027
Dhanbad Junction,4.2,280
Bhojudih Railway Station,4.0,137
Chhota Ambana Railway Station,3.7,76
Sindri Railway Station,3.7,63
Sindri Town Railway Station,4.1,54
Hansdiha Railway Station,3.9,83
Suri Railway Station,4.1,1616
Chinpai Railway Station,3.9,79
Danrae Railway Station,3.4,7
Rampurhat Railway Station,4.0,7692
Jamtara Railway Station,3.8,238
Panchra Railway Station,3.7,141
Vidyasagar Railway Station,3.9,189
Chittaranjan Railway Station,4.0,6
Madhupur Junction,4.1,1003
Hazaribagh Road Railway Station,3.9,138
Chichaki Railway Station,4.0,49
Raj Dhanwar Railway Station,3.8,38
Giridih Railway Station,4.4,27
Arjun Nagar Halt,3.8,8
Tatanagar Junction,4.3,3177
Tatanagar Railway Station,4.1,206
Adityapur Railway Station,3.6,148
Salga Jhari West Cabin Railway Station,3.4,45
Govindpur Railway,3.5,19
Gamharia Railway Station,3.7,4
Asanboni Railway Station,3.7,174
Govindpur Station,4.0,19
Kandra Railway Station,3.9,152
Chandil Junction,4.0,401
Hatia Railway Station,4.0,13586
Ranchi Railway Station,4.3,7640
Muri Junction,4.0,1489
Khelari Railway Station,3.6,422
Mesra Railway Station,4.3,15
Jhanjhitoli Halt Railway Station,4.5,4
Bhurkunda Railway Station,3.6,279
Barkakana Railway Station,4.0,574
Ramgarh Railway Station,3.9,332
Ramgarh Cantonment Railway Station,3.9,44
Badami Railway Station,3.4,79
Lakhamapur Railway Station,4.5,6
Bagalkot Railway Station,4.0,2248
Hire Shellikeri Railway Station,4.0,57
Holealur Railway Station,4.6,5
Almatti Railway Station,4.3,3
Gadag Railway Station,4.1,7248
Bhistenhatti Railway Station,3.0,3
Annigeri Railway Station,4.0,19
Sisvinhalli Railway Station,3.9,21
Toranagallu Railway Station,3.4,172
Kottur Railway Station,4.1,111
Ballari Cantonment Railway Station,3.9,56
Hagari Bommanahalli Railway Station,4.0,7
Ranjithapura Railway Station,4.0,2
Krantivira Sangolli Rayanna Railway Station,4.1,70259
Bengaluru City Junction Railway Station,4.2,32630
Yeshwanthpur Railway Station,3.9,34640
Krishnarajapuram Railway Station,3.9,20692
Banaswadi Railway Station,3.9,13959
Cantonment Railway Station,4.1,13040
Kengeri Railway Station,4.1,11347
Sir M Vishveshwaraya Terminal,4.4,9353
Karmelaram Railway Station,3.6,5321
Whitefield Railway Station,3.9,4566
Belgaum Railway Station,4.1,10135
Kudchi Railway Station,3.8,331
Konnur Railway Station,3.9,160
Ghataprabha Railway Station,4.1,73
Desur Railway Station,3.7,50
Raibag Railway Station,4.0,32
Tilakwadi 3rd Railway Gate,3.4,27
Shedbal Railway Station,4.5,4
Alnavar Railway Station,4.3,18
Bidar Railway Station,4.1,4492
Bhalki Railway Station,3.9,171
Hallikhed K Railway Station,4.1,9
Kamalnagar Railway Station,5.0,4
Zahirabad Railway Station,3.8,1277
Ravulapally Kalan Railway Station,4.0,2
Udgir Railway Station,4.2,3436
Tandur Railway Station,3.9,4443
Mahagaon Railway Station,3.6,13
Manoharabad Railway Station,3.9,52
Birur Railway Station,4.0,6147
Birur Junction Railway Station,4.0,635
Kadur Junction Railway Station,3.9,308
Chikmagalur Railway Station,4.3,85
Ajjampura Railway Station,4.0,49
