longitude,latitude,Station_Code,Total_Score,Station_Name_lower
74.297633,29.614904,HMH,860.05,hanumangarh jn
74.618439,30.942486,FZR,684.53,firozpur cant
81.364073,23.285962,SDL,806.86,shahdol
81.695967,23.117312,APR,787.04,anuppur jn
78.316774,17.482874,LPI,645.39,lingampalli
84.010526,21.850125,JSGR,469.42,jharsuguda road
73.0133366,26.2484972,BGKT,897.36,bhagat ki kothi
74.999049,20.464109,CSN,689.89,chalisgaon jn
74.721882467,19.0755194777,ANG,810.04,ahmadnagar
74.503328,19.902943,KPG,700.88,kopargaon
73.871417,29.931792,SGNR,869.0,shri ganganagar
73.907248,29.324152,SOG,913.23,suratgarh jn
73.723572,27.199991,NGO,766.47,nagaur
73.609301,25.720479,MJ,895.57,marwar jn
82.111546,22.102548,USL,887.18,uslapur
81.89917,22.755825,PND,807.44,pendra road
80.823244,23.52273,UMR,746.38,umaria
86.594953,25.875208,SHC,765.02,saharsa jn
84.3298444,24.8559556,AUBR,796.88,anugraha n road
83.618913,25.173007,BBU,653.7,bhabua road
82.642735,24.204257,SGRL,832.42,singrauli
73.12357712,18.44649043,ROHA,703.82,roha
86.078137,26.208947,SKI,566.53,sakri jn
85.504707,26.594374,SMI,522.7,sitamarhi
84.844564,26.987018,RXL,760.4,raxaul jn
84.066991,27.130045,BUG,597.57,bagaha
79.904605,27.894224,SPN,883.84,shahjehanpur
81.093657,25.063492,MKP,528.14,manikpur jn
74.332936,14.645347,ANKL,728.44,ankola
76.548414,9.449881,CGY,735.29,changanaseri
80.147877,27.399414,HRI,655.48,hardoi
84.73934,26.758187,SGL,568.92,sagauli jn
86.076784,26.348165,MBI,493.96,madhubani
88.3793623,22.9236565,BDC,744.58,bandel jn
79.459533963,25.9825370076,ORAI,607.97,orai
77.500362,13.819144,HUP,554.21,hindupur
83.008851,17.695503,AKP,660.81,anakapalle
82.542462,17.36108,TUNI,761.61,tuni
84.002866,24.538969,JPL,749.79,japla
76.330336,26.900047,DO,848.43,dausa
76.1255797,28.7984261,BNW,832.11,bhiwani
76.57955,28.890904,ROK,703.82,rohtak jn
82.5583597,25.3952636,BOY,599.93,bhadohi
81.806276,26.153024,AME,688.26,amethi
